appid;name;release_date;english;developer;publisher;platforms;required_age;categories;genres;steamspy_tags;achievements;positive_ratings;negative_ratings;average_playtime;median_playtime;owners;price;genresLista;genero;positiveReviewsPct;year;average_playtime_log
323320;Grow Home;2015-02-04;1;Reflections, a Ubisoft Studio;Ubisoft;"windows;linux";0;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";"Adventure;Casual;Indie";"Open World;Adventure;Singleplayer";26;3855;382;142;162;200000-500000;6.69;['Adventure', 'Casual', 'Indie'];Adventure;0.9098418692471089;2015;4.955827057601261
237870;Planet Explorers;2016-11-08;1;Pathea Games;Pathea Games;"windows;mac;linux";0;"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Steam Workshop;Partial Controller Support";"Action;Adventure;Indie;RPG;Simulation";"Sandbox;Open World;Survival";16;3847;1729;545;765;200000-500000;7.19;['Action', 'Adventure', 'Indie', 'RPG', 'Simulation'];Adventure;0.6899210903873745;2016;6.300785794663244
314020;Morphopolis;2014-08-14;1;"Dan  Walters;Ceri Williams";Dan  Walters;windows;0;"Single-player;Steam Achievements;Steam Trading Cards";"Adventure;Casual;Indie";"Puzzle;Hidden Object;Casual";13;3846;749;219;180;200000-500000;2.89;['Adventure', 'Casual', 'Indie'];Adventure;0.8369967355821545;2014;5.389071729816501
604450;Another Adventure;2017-03-10;1;ThankCreate Studio;"ThankCreate Studio;WhisperGames";"windows;mac";0;"Single-player;Steam Achievements;Steam Cloud";"Adventure;Indie";"Indie;Adventure;Drama";5;3835;362;78;78;50000-100000;1.59;['Adventure', 'Indie'];Adventure;0.9137479151775078;2017;4.356708826689592
234080;Castlevania: Lords of Shadow – Ultimate Edition;2013-08-27;1;MercurySteam - Climax Studios;Konami Digital Entertainment;windows;16;"Single-player;Steam Achievements;Full controller support;Steam Cloud";"Action;Adventure";"Action;Adventure;Hack and Slash";47;3827;953;706;908;200000-500000;19.99;['Action', 'Adventure'];Adventure;0.8006276150627615;2013;6.559615237493242
299460;Woodle Tree Adventures;2016-03-02;1;Fabio Ferrara;Chubby Pixel;"windows;mac;linux";0;"Single-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support";"Action;Adventure;Indie";"Indie;Adventure;Platformer";8;3824;1878;189;199;500000-1000000;1.99;['Action', 'Adventure', 'Indie'];Adventure;0.6706418800420905;2016;5.241747015059643
486310;Meadow;2016-10-26;1;Might and Delight;Might and Delight;"windows;mac;linux";0;"Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards";"Adventure;Indie;Massively Multiplayer";"Cute;Open World;Massively Multiplayer";83;3819;470;227;277;200000-500000;3.99;['Adventure', 'Indie', 'Massively Multiplayer'];Adventure;0.8904173467008627;2016;5.424950017481403
280160;Aragami;2016-10-04;1;Lince Works;Lince Works;"windows;mac;linux";0;"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Includes level editor";"Action;Adventure;Indie";"Stealth;Ninja;Assassin";51;3815;458;199;262;200000-500000;14.99;['Action', 'Adventure', 'Indie'];Adventure;0.8928153522115609;2016;5.293304824724492
435030;Lost Lands: Mahjong;2016-03-14;1;FIVE-BN GAMES;FIVE-BN GAMES;"windows;mac";0;"Single-player;Steam Achievements;Steam Cloud";"Adventure;Casual;Free to Play";"Free to Play;Adventure;Casual";46;3769;309;23;23;100000-200000;0.0;['Adventure', 'Casual', 'Free to Play'];Adventure;0.9242275625306523;2016;3.1354942159291497
648390;Marie's Room;2018-04-13;1;like Charlie;like Charlie;windows;0;"Single-player;Steam Achievements";"Adventure;Casual;Free to Play;Indie";"Free to Play;Story Rich;Indie";7;3763;206;30;36;200000-500000;0.0;['Adventure', 'Casual', 'Free to Play', 'Indie'];Adventure;0.9480977576215671;2018;3.4011973816621555
